Year,WW,Rainfall_mm,Highest_30Min_Rainfall_mm,Highest_60Min_Rainfall_mm,Highest_120Min_Rainfall_mm,Mean_Temperature_C,Max_Temperature_C,Min_Temperature_C,Mean_WindSpeed_kmh,Max_WindSpeed_kmh,LocationId
2016,26,6.857142857,2.4,3.885714286,5.514285714,NULL,NULL,NULL,NULL,NULL,11
2016,27,0,0,0,0,NULL,NULL,NULL,NULL,NULL,11
2016,28,6.342857143,3.828571429,5.6,6.342857143,NULL,NULL,NULL,NULL,NULL,11
2016,29,4.342857143,3.314285714,4.142857143,4.171428571,NULL,NULL,NULL,NULL,NULL,11
2016,30,15.48571429,7.171428571,9.914285714,11.4,NULL,NULL,NULL,NULL,NULL,11
2016,31,2.171428571,1.457142857,1.571428571,1.657142857,NULL,NULL,NULL,NULL,NULL,11
2016,32,6.028571429,3.828571429,5.028571429,5.942857143,NULL,NULL,NULL,NULL,NULL,11
2016,33,2.142857143,2.114285714,2.114285714,2.142857143,NULL,NULL,NULL,NULL,NULL,11
2016,34,7.971428571,6.457142857,7.571428571,7.742857143,NULL,NULL,NULL,NULL,NULL,11
2016,35,6.257142857,4.057142857,5.428571429,5.971428571,NULL,NULL,NULL,NULL,NULL,11
2016,36,2.05,1,1.05,1.15,NULL,NULL,NULL,NULL,NULL,11
2016,1,11.3,6.6,6.8,7,NULL,NULL,NULL,NULL,NULL,13
2016,2,0.2,0.171428571,0.2,0.2,NULL,NULL,NULL,NULL,NULL,13
2016,3,4.371428571,3.342857143,3.542857143,3.714285714,NULL,NULL,NULL,NULL,NULL,13
2016,4,10.1,7.8,9.7,9.8,NULL,NULL,NULL,NULL,NULL,13
2016,5,3.885714286,2.142857143,2.914285714,2.942857143,NULL,NULL,NULL,NULL,NULL,13
2016,6,4.914285714,2.8,3.257142857,4.342857143,NULL,NULL,NULL,NULL,NULL,13
2016,7,5.171428571,3.2,3.914285714,4.285714286,NULL,NULL,NULL,NULL,NULL,13
2016,8,19.02857143,5.685714286,8.342857143,11.6,NULL,NULL,NULL,NULL,NULL,13
2016,9,2.228571429,1.257142857,1.314285714,1.571428571,NULL,NULL,NULL,NULL,NULL,13
2016,10,0.628571429,0.6,0.6,0.6,NULL,NULL,NULL,NULL,NULL,13
2016,11,2.771428571,1.514285714,1.542857143,1.914285714,NULL,NULL,NULL,NULL,NULL,13
2016,12,2.914285714,2.657142857,2.885714286,2.885714286,NULL,NULL,NULL,NULL,NULL,13
2016,13,5.914285714,5.085714286,5.771428571,5.857142857,NULL,NULL,NULL,NULL,NULL,13
2016,14,0,0,0,0,NULL,NULL,NULL,NULL,NULL,13
2016,15,14.37142857,10.14285714,12.77142857,14.17142857,NULL,NULL,NULL,NULL,NULL,13
2016,16,3.857142857,3.542857143,3.742857143,3.8,NULL,NULL,NULL,NULL,NULL,13
2016,17,2.828571429,2.085714286,2.542857143,2.628571429,NULL,NULL,NULL,NULL,NULL,13
2016,18,8.142857143,5.714285714,6.542857143,7.2,NULL,NULL,NULL,NULL,NULL,13
