Date,denguecases,AveUVIndex,MinUVIndex,MaxUVIndex,PSI,Rainfall_mm,Highest_30Min_Rainfall_mm,Highest_60Min_Rainfall_mm,Highest_120Min_Rainfall_mm,Mean_Temperature_C,Max_Temperature_C,Min_Temperature_C,Mean_WindSpeed_kmh,Max_WindSpeed_kmh,Max_Humidity_Percentage, Mean_Humidity_Percentage, Min_Humidity_Percentage,regionId
5/2/2016,233,4,0,8,48.91666667,7.12,5.4,6.725,7.775,28.1,33.61666667,25.75,5.2,43.85,84,76,62,4
5/3/2016,233,3,0,8,55.875,0.32,0.4,0.4,0.4,29.44,34.81666667,25.63333333,7.616666667,30.85,94,73,43,4
5/5/2016,218,4,0,9,40.125,0.02,0.025,0.025,0.025,30.36666667,34.83333333,26.55,7.783333333,27,84,70,49,4
5/6/2016,225,2,0,5,47.375,5.29,5.725,5.8,5.85,28.7,34.56666667,25.65,6.05,34.75,89,77,52,4
5/7/2016,196,3,0,8,58.04166667,2.76,2.9,3.275,3.45,28.82,34.53333333,26.03333333,5.883333333,32.98333333,89,77,56,4
5/8/2016,196,2,0,4,56.375,6.22,3.625,6.125,7.3,28.78,33.95,25.51666667,5.866666667,31.93333333,89,76,55,4
5/9/2016,196,1,0,5,59.625,0.45,0.4,0.4,0.4,29.12,33.55,25.86666667,6.3,22.8,89,75,56,4
5/10/2016,197,3,0,6,61.5,1.82,1,1,1,29.18,34.3,25.81666667,6.2,31.08333333,89,74,51,4
5/11/2016,155,0,-1,5,39.41666667,0.1,0.125,0.125,0.125,29.96,34.73333333,26.78333333,6.433333333,26.76666667,84,70,49,4
5/12/2016,137,3,0,6,36.75,33.14,17.525,22.025,24.925,28.75,34.88333333,25.33333333,5.816666667,34.86,94,78,54,4
5/13/2016,131,2,-1,8,56.45833333,1.17,1.2,1.4,1.4,28.86666667,33.65,26.01666667,6.366666667,28.1,94,78,54,4
5/14/2016,141,2,0,7,53.79166667,8.85,6.725,8.075,8.275,28.41666667,32,25.33333333,5.65,28.66666667,89,80,51,4
5/15/2016,141,2,0,6,55.5,14.58,6.35,9.875,13.65,27.4,32.46666667,25.18333333,4.966666667,47.7,94,86,62,4
5/16/2016,141,2,0,4,54.79166667,18.76,13.9375,15.975,18.575,28.11666667,33.68333333,25.65,6.233333333,36.43333333,94,80,58,4
5/17/2016,143,3,0,7,54.75,19.9,11.55,13.7375,15.425,28.03333333,33.45,25.08333333,6.416666667,38.81666667,100,82,46,4
5/18/2016,55,3,0,7,61.04166667,4.97,5.4,5.45,5.475,28.75,33.6,26.1,5.3,25.25,94,80,59,4
5/19/2016,67,2,0,6,67.125,15.93,13.5,15.1375,16.15,27.66666667,33.26666667,25.35,6.3,31.91666667,100,83,63,4
5/20/2016,71,3,0,6,54.41666667,4.81,3.5,3.775,3.775,28.46666667,33.25,25.6,6.416666667,29.05,100,83,65,4
5/21/2016,80,2,0,6,47.45833333,0.49,0.525,0.525,0.525,29.56666667,33.61666667,26.7,6.066666667,22.2,89,79,60,4
5/22/2016,80,4,0,8,52.75,5.74,3.975,4.5125,4.6125,28.55,31.35,24.73333333,8.333333333,34.66666667,94,78,60,4
5/23/2016,80,2,0,5,36.54166667,30.29,13.8,20.175,23.6375,28.36666667,33.46666667,24.65,7.083333333,47.03333333,100,83,63,4
5/24/2016,82,2,0,5,50.33333333,3.15,3.025,3.525,3.525,29.36666667,34.65,25.33333333,6.85,29.91666667,94,78,55,4
5/25/2016,82,3,0,6,43.25,5.1,3.3,3.475,3.475,29.3,33,25.81666667,7.183333333,34.2,89,75,56,4
5/26/2016,76,3,0,7,41.5,2.37,2.625,2.725,2.8,29.68333333,34.33333333,26.13333333,6.483333333,29.26666667,89,77,59,4
5/27/2016,79,0,0,1,38.79166667,0.12,0.125,0.125,0.125,28.7,32.46666667,25.8,7.733333333,28.6,94,76,54,4
5/28/2016,70,2,0,5,30.95833333,0,0,0,0,29.68333333,33.53333333,27,8.033333333,27.65,89,75,62,4
5/29/2016,70,3,0,8,34.08333333,20.49,9.35,11.85,14.525,28.61666667,32.46666667,24.56666667,6,31.15,94,77,65,4
5/30/2016,70,3,0,8,43.45833333,0.02,0.025,0.025,0.025,29.75,34.13333333,26.46666667,6,21.51666667,89,74,51,4
5/31/2016,69,1,0,3,53.08333333,1.26,1.025,1.05,1.175,28.35,32.75,25.86666667,7.2,42.58333333,94,81,56,4
6/1/2016,60,3,0,7,46.08333333,0.04,0.05,0.05,0.05,28.98333333,33.56666667,25.21666667,7.2,28.85,94,74,49,4
6/2/2016,69,2,0,5,58.33333333,11.22222222,5.342857143,7.885714286,9.314285714,27.36,30.48333333,24.96666667,5.816666667,35.73333333,89,81,57,4
6/3/2016,63,1,0,6,56.08333333,24.78888889,11.22857143,12.8,13,27.26,33.1,24.4,5.1,35.93333333,94,79,62,4
6/4/2016,68,4,0,8,61.20833333,1.044444444,0.6,0.6,0.6,27.54,33.2,25.06666667,5.333333333,27.96666667,84,76,59,4
6/5/2016,68,4,0,8,60.875,0.888888889,0.314285714,0.485714286,0.571428571,26.22,27.76666667,24.85,4.633333333,28.5,94,84,70,4
6/6/2016,68,4,0,7,58.25,0.022222222,0.028571429,0.028571429,0.028571429,28.22,32.78333333,25.25,5.516666667,20.7,94,81,62,4
6/7/2016,69,2,0,6,54.66666667,4.666666667,5.428571429,6,6,28.92,33.85,26.13333333,6.55,38.98333333,89,74,51,4
6/8/2016,77,3,0,8,46.16666667,0.022222222,0.028571429,0.028571429,0.028571429,29,33.63333333,26.43333333,6.6,27.13333333,84,74,49,4
6/9/2016,82,1,0,4,62.41666667,31.38888889,11,15.31428571,17.85714286,27.06666667,30.78333333,23.26666667,6.216666667,46.3,94,81,60,4
6/10/2016,82,1,0,4,63.875,10.85555556,8.657142857,9.771428571,9.885714286,27.94,32.73333333,25.08333333,5.766666667,30.3,94,81,58,4
6/11/2016,86,2,0,4,60.16666667,0.911111111,0.885714286,0.885714286,0.885714286,28.18,32.18333333,25.35,6.316666667,31.38333333,94,79,59,4
6/12/2016,86,3,0,7,54.5,9.433333333,5.028571429,6.571428571,8.742857143,27.44,32.16666667,25.73333333,6.416666667,29.18333333,94,82,58,4
6/13/2016,86,1,0,3,35.29166667,0.444444444,0.457142857,0.457142857,0.457142857,28.32,33.18333333,25.41666667,6.783333333,26.68333333,89,78,59,4
6/14/2016,88,1,0,3,31.25,5.8,4.114285714,4.714285714,5.571428571,28.2,32.8,25.05,6.066666667,24.6,94,77,55,4
6/15/2016,89,3,0,7,49.625,2.622222222,1.628571429,2.028571429,2.171428571,27.74,31.86666667,25.66666667,6.066666667,25.25,94,80,55,4
